,hotel,ratings,review,real_date,length
0,그랜드 인터컨티넨탈 서울 파르나스,5,12월에 리오픈해서 그런지 엄청 깨끗하고호텔리어 분들이 너무 친절 하셨어요.조식도 너무 맛있었어요!!다음에 또 방문할게요~,2020. 12. 20,68
1,그랜드 인터컨티넨탈 서울 파르나스,5,침대도 좋고 시설 자체가 전부 청결하고 좋았습니다.어메니티도 마음에들어서 한세트 더 달라고 했어요.프런트분들도 친절하고 좋았습니다.지하에 코엑스와 연결되어있어서 편하게 다닐수 있었어요,2022. 04. 19,102
2,그랜드 인터컨티넨탈 서울 파르나스,5,"일단 방 사이즈는 크지는 않았지만, 지내기엔 부족하지 않았습니다. 테헤란로뷰 였지만 공사중이라 아쉽긴했지만 만족했어요! 코엑스랑 현백이 옆에 있어서 음식 걱정 노노.패키지 구성이 좋았습니다! 칵테일도 맛나고!호텔이 리뉴엘해서 그런지 방은 현대적이고 품위있었습니다. 다만 수영장이 정말 레일3개만 있규.. 즐기기엔 좀 아쉬웠습니다.다음에 재방문 의사 100프로 있습니다!!! 주말보다는 평일 이용하세요더보기",2022. 04. 18,226
3,그랜드 인터컨티넨탈 서울 파르나스,5,너무 깔끔하고 역시 좋았습니다,2022. 04. 18,16
4,그랜드 인터컨티넨탈 서울 파르나스,5,일단 코엑스에 위해서 너무 좋았고룸 컨디션또한최고였습니다,2022. 04. 18,31
5,그랜드 인터컨티넨탈 서울 파르나스,5,친절하고 조식이 맛있었어요,2022. 04. 18,14
6,그랜드 인터컨티넨탈 서울 파르나스,5,서비스 좋습니다 ㅋㅋ 좀 더 일찍 갔어야했눈데 체크인이 넘 늦었네요ㅠㅠ 잘 쉬다갑니다,2022. 04. 16,47
7,그랜드 인터컨티넨탈 서울 파르나스,5,시설도 너무좋았고 편의시설도 좋고 조식두맛있구 너무힐링되는곳이네요~^^,2022. 04. 12,39
8,그랜드 인터컨티넨탈 서울 파르나스,5,다 좋은데 드라이기는 교체해야할 득,2022. 04. 12,19
9,그랜드 인터컨티넨탈 서울 파르나스,5,편히 잘 쉬었어요,2022. 04. 11,9
10,그랜드 인터컨티넨탈 서울 파르나스,4,직원들 친절하고 숙소도 청결해서 좋았어요,2022. 04. 10,22
11,그랜드 인터컨티넨탈 서울 파르나스,5,깔끔하고 조식이 맛있었음,2022. 04. 09,13
12,그랜드 인터컨티넨탈 서울 파르나스,5,깔끔한 시설이 매우 훌륭했습니다.,2022. 04. 08,18
13,그랜드 인터컨티넨탈 서울 파르나스,5,말해뭐해네요 정말... 최고였어요,2022. 04. 08,18
14,그랜드 인터컨티넨탈 서울 파르나스,5,좋았어요 ㅎㅎ,2022. 04. 07,7
